İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yatırıma Uygunluk,Eşya Durumu,Banyo Sayısı,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Site İçerisinde,Takas,Fiyat Durumu,Kategori,Konumu,Fiyat,İlan Açıklaması
13697446,06 Ağustos 2023,Satılık,335 M2,0 (Yeni),3,Boş,Bilinmiyor,Boş,3,06 Ağustos 2023,Konut,305 M2,5+2,Villa Tipi,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Adnan Kahveci Mahallesi,"22,000,000",
13691137,05 Ağustos 2023,Satılık,100 M2,0 (Yeni),5,Boş,Yatırıma Uygun,Boş,1,05 Ağustos 2023,Konut,85 M2,2+1,3.Kat,Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Daire,İstanbul - Sultanbeyli - Hamidiye Mahallesi,"2,280,000",
13691006,06 Ağustos 2023,Satılık,130 M2,0 (Yeni),5,Boş,Yatırıma Uygun,Boş,1,05 Ağustos 2023,Konut,120 M2,2+1,1.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Esenyurt - Cumhuriyet Mahallesi,"1,439,000",
13691519,05 Ağustos 2023,Satılık,110 M2,5-10,6,Boş,Yatırıma Uygun,Boş,1,05 Ağustos 2023,Konut,90 M2,2+1,1.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Başakşehir - Bahçeşehir 2. Kısım Mahallesi,"1,550,000",
13690702,05 Ağustos 2023,Satılık,160 M2,0 (Yeni),5,Boş,Yatırıma Uygun,Boş,1,05 Ağustos 2023,Konut,150 M2,4+1,Yüksek Giriş,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Esenyurt - Cumhuriyet Mahallesi,"1,290,000",
13691424,05 Ağustos 2023,Satılık,350 M2,21 Ve Üzeri,1,Boş,,,2,05 Ağustos 2023,Konut,300 M2,3+1,1.Kat,Kombi Doğalgaz,Hayır,,Genel Fiyat,Daire,İstanbul - Sarıyer - Cumhuriyet Mahallesi,"10,000,000","-Mustakil Gecekondu ve Üç dükkan, -İmar barışı yapılmış, -120 m2 Daire (İki daireye donüştürülmek icin uygun), -Dükanlar her biri 50 m2, (Konuta Dönüştürülebilir), -Bina boş olarak teslim edilecektir, -Kullanım alanı 350m2 dir"
13691629,06 Ağustos 2023,Satılık,120 M2,0 (Yeni),5,Boş,Bilinmiyor,Boş,1,05 Ağustos 2023,Konut,110 M2,2+1,Bahçe Katı,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Cumhuriyet Mahallesi,"899,999",
13690648,06 Ağustos 2023,Satılık,90 M2,5-10,5,Boş,Yatırıma Uygun,,1,05 Ağustos 2023,Konut,80 M2,2+1,Bahçe Katı,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Esenyurt - Mehterçeşme Mahallesi,"1,200,000",
13690509,06 Ağustos 2023,Satılık,120 M2,0 (Yeni),5,Boş,Yatırıma Uygun,,2,05 Ağustos 2023,Konut,100 M2,2+1,2.Kat,Kombi Doğalgaz,Evet,Var,Genel Fiyat,Daire,İstanbul - Büyükçekmece - Atatürk Mahallesi,"4,300,000",
13691897,05 Ağustos 2023,Satılık,130 M2,5-10,5,Boş,Yatırıma Uygun,,1,05 Ağustos 2023,Konut,120 M2,3+1,Bahçe Katı,Merkezi Doğalgaz,Hayır,,Genel Fiyat,Daire,İstanbul - Esenyurt - Güzelyurt Mahallesi,"839,000",
13691684,05 Ağustos 2023,Satılık,95 M2,11-15,10,Boş,Yatırıma Uygun,Boş,1,05 Ağustos 2023,Konut,75 M2,2+1,7.Kat,Kombi Doğalgaz,Evet,Yok,Genel Fiyat,Daire,İstanbul - Ataşehir - Aşıkveysel Mahallesi,"3,500,000",
13691924,05 Ağustos 2023,Satılık,75 M2,5-10,4,Boş,Yatırıma Uygun,Boş,1,05 Ağustos 2023,Konut,70 M2,2+1,2.Kat,Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Daire,İstanbul - Sancaktepe - Atatürk Mahallesi,"2,550,000",
13693147,05 Ağustos 2023,Satılık,95 M2,5-10,4,Boş,Yatırıma Uygun,Boş,1,05 Ağustos 2023,Konut,85 M2,2+1,1.Kat,Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Daire,İstanbul - Maltepe - Aydınevler Mahallesi,"2,600,000",
13692187,06 Ağustos 2023,Satılık,135 M2,11-15,4,Mülk Sahibi Oturuyor,Yatırıma Uygun,Boş,1,05 Ağustos 2023,Konut,125 M2,3+1,Düz Giriş (Zemin),Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Pendik - Güzelyalı Mahallesi,"1,400,000",
13690498,06 Ağustos 2023,Satılık,135 M2,1,5,Boş,Yatırıma Uygun,,1,05 Ağustos 2023,Konut,95 M2,3+1,Bahçe Katı,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Esenyurt - Talatpaşa Mahallesi,"785,000",
13692148,05 Ağustos 2023,Satılık,115 M2,4,4,Boş,Yatırıma Uygun,Boş,1,05 Ağustos 2023,Konut,110 M2,2+1,Yüksek Giriş,Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Daire,İstanbul - Sancaktepe - Kemal Türkler Mahallesi,"1,800,000",
13694337,05 Ağustos 2023,Satılık,200 M2,21 Ve Üzeri,4,Boş,Yatırıma Uygun,Boş,1,05 Ağustos 2023,Konut,160 M2,4+1,3.Kat,Merkezi Doğalgaz,Hayır,,Genel Fiyat,Daire,İstanbul - Kadıköy - Feneryolu Mahallesi,"22,000,000",
13695963,06 Ağustos 2023,Satılık,160 M2,4,5,Boş,Yatırıma Uygun,Boş,1,06 Ağustos 2023,Konut,150 M2,3+1,3.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Esenyurt - Örnek Mahallesi,"2,579,000",
13696209,06 Ağustos 2023,Satılık,105 M2,0 (Yeni),5,Boş,Yatırıma Uygun,Boş,1,06 Ağustos 2023,Konut,100 M2,2+1,Yüksek Giriş,Merkezi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Cumhuriyet Mahallesi,"1,399,999",
13696230,06 Ağustos 2023,Satılık,105 M2,0 (Yeni),30,Boş,Yatırıma Uygun,Boş,1,06 Ağustos 2023,Konut,100 M2,2+1,Çatı Katı,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Cumhuriyet Mahallesi,"1,499,999",
13696249,06 Ağustos 2023,Satılık,110 M2,0 (Yeni),6,Boş,Yatırıma Uygun,Boş,1,06 Ağustos 2023,Konut,100 M2,2+1,2.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Cumhuriyet Mahallesi,"1,399,999",
13692420,05 Ağustos 2023,Satılık,150 M2,4,9,Boş,Yatırıma Uygun,,2,05 Ağustos 2023,Konut,115 M2,3+1,8.Kat,Merkezi (Pay Ölçer),Hayır,,Genel Fiyat,Daire,İstanbul - Kadıköy - Caddebostan Mahallesi,"13,250,000",
13696355,06 Ağustos 2023,Satılık,130 M2,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,Yatırıma Uygun,Boş,1,06 Ağustos 2023,Konut,110 M2,3+1,3.Kat,Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Daire,İstanbul - Pendik - Orhangazi Mahallesi,"1,650,000",4 KATLI BİNADA 3 ÜÇÜNCÜ KATINDA KENDİNE AİT KAPALIOTOPARK LI KİRACI SORUNU YOK BOŞ TESLİM EDİLECEK detaylı bilgi için lütfen arayınız
13696806,06 Ağustos 2023,Satılık,110 M2,0 (Yeni),6,Boş,Yatırıma Uygun,Boş,1,06 Ağustos 2023,Konut,100 M2,3+1,3.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Esenyurt - Sultaniye Mahallesi,"1,824,999",
13696584,06 Ağustos 2023,Satılık,120 M2,5-10,7,Mülk Sahibi Oturuyor,Yatırıma Uygun,Boş,2,06 Ağustos 2023,Konut,90 M2,2+1,1.Kat,Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Daire,İstanbul - Kadıköy - Caddebostan Mahallesi,"9,000,000",
13697073,06 Ağustos 2023,Satılık,190 M2,0 (Yeni),3,Boş,,Boş,2,06 Ağustos 2023,Konut,160 M2,3+2,2.Kat,Kombi Doğalgaz,Hayır,,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Marmara Mahallesi,"3,099,999",
13697260,06 Ağustos 2023,Satılık,95 M2,21 Ve Üzeri,5,Kiracı Oturuyor,,,1,06 Ağustos 2023,Konut,90 M2,2+1,2.Kat,Kombi Doğalgaz,Hayır,,Genel Fiyat,Daire,İstanbul - Sarıyer - Sarıyer Merkez Mahallesi,"3,800,000",hat mulkiyetli icinde kiracili istenirse çikarilir detaylar icin arayiniz
13694667,06 Ağustos 2023,Satılık,135 M2,21 Ve Üzeri,7,Boş,Yatırıma Uygun,Boş,1,06 Ağustos 2023,Konut,110 M2,3+1,6.Kat,Merkezi (Pay Ölçer),Hayır,Yok,Genel Fiyat,Daire,İstanbul - Kadıköy - Sahrayı Cedit Mahallesi,"4,300,000",
13697082,06 Ağustos 2023,Satılık,220 M2,0 (Yeni),5,Boş,,,2,06 Ağustos 2023,Konut,200 M2,4+2,4.Kat,Kombi Doğalgaz,Hayır,,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Adnan Kahveci Mahallesi,"3,699,999",
13690357,06 Ağustos 2023,Satılık,180 M2,0 (Yeni),4,Boş,Bilinmiyor,Boş,2,05 Ağustos 2023,Konut,170 M2,4+1,2.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Adnan Kahveci Mahallesi,"3,243,000",
13697335,06 Ağustos 2023,Satılık,125 M2,0 (Yeni),5,Boş,Yatırıma Uygun,Boş,1,06 Ağustos 2023,Konut,120 M2,2+1,2.Kat,Merkezi Doğalgaz,Hayır,,Genel Fiyat,Daire,İstanbul - Esenyurt - Güzelyurt Mahallesi,"1,150,000",
13684653,06 Ağustos 2023,Satılık,145 M2,0 (Yeni),4,Boş,Yatırıma Uygun,Boş,1,04 Ağustos 2023,Konut,130 M2,3+1,3.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Adnan Kahveci Mahallesi,"3,300,000",
13684962,04 Ağustos 2023,Satılık,110 M2,5-10,4,Boş,Bilinmiyor,Boş,3,04 Ağustos 2023,Konut,90 M2,3+1,Yüksek Giriş,Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Daire,İstanbul - Kartal - Petroliş Mahallesi,"3,490,000",
13684822,05 Ağustos 2023,Satılık,90 M2,4,4,Mülk Sahibi Oturuyor,Yatırıma Uygun,Boş,1,04 Ağustos 2023,Konut,70 M2,2+1,Düz Giriş (Zemin),Yerden Isıtma,Hayır,Var,Genel Fiyat,Daire,İstanbul - Maltepe - İdealtepe Mahallesi,"5,600,000",
13685328,06 Ağustos 2023,Satılık,100 M2,5-10,5,Boş,Yatırıma Uygun,,1,04 Ağustos 2023,Konut,90 M2,2+1,Yüksek Giriş,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Esenyurt - Yeşilkent Mahallesi,"1,500,000",
13684506,04 Ağustos 2023,Satılık,100 M2,0 (Yeni),3,Mülk Sahibi Oturuyor,Yatırıma Uygun,Boş,1,04 Ağustos 2023,Konut,80 M2,2+1,1.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Sultanbeyli - Adil Mahallesi,"2,285,000",
13683792,05 Ağustos 2023,Satılık,110 M2,3,8,Mülk Sahibi Oturuyor,Yatırıma Uygun,Boş,1,04 Ağustos 2023,Konut,95 M2,1+1,3.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Cumhuriyet Mahallesi,"1,039,000",
13685518,05 Ağustos 2023,Satılık,75 M2,11-15,4,Kiracı Oturuyor,Yatırıma Uygun,,1,04 Ağustos 2023,Konut,68 M2,2+1,Yüksek Giriş,Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Daire,İstanbul - Bahçelievler - Yenibosna Merkez Mahallesi,"1,600,000",
13683695,04 Ağustos 2023,Satılık,160 M2,11-15,14,Mülk Sahibi Oturuyor,,,2,04 Ağustos 2023,Konut,140 M2,3+1,14.Kat,Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Barış Mahallesi,"3,199,000",
13683972,06 Ağustos 2023,Satılık,110 M2,4,5,Boş,Yatırıma Uygun,Boş,1,04 Ağustos 2023,Konut,100 M2,2+1,2.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Esenyurt - Üçevler Mahallesi,"945,000",
13685547,05 Ağustos 2023,Satılık,450 M2,0 (Yeni),3,Boş,,,4,04 Ağustos 2023,Konut,300 M2,4+2,,Yerden Isıtma,Hayır,,Genel Fiyat,Villa,İstanbul - Büyükçekmece - Fatih Mahallesi,"12,000,000",
