Listing No,Last Update Date,Listing status,Residence Type,Property Structure,Number Of Room + Hall,Gross/Net m²,Floor,Property Age,Heating Type,Number of Floors,Loan Availability,Furnishing Status,Number of Bathrooms,Structure Type,State of the Building,Usage Status,Title Deed Status,Dues,Swap,Facade,Rental Income,Fuel Type,Authorized Office,City,District,Town,Price
132722-62,06-08-2023,For Sale,Apartment,Daire,3 + 1,150 m2,3. Floor,13 at Age,Combi Boiler,7 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,Condominium,100 TRY,No,"North, South, East",7.000 TRY,Gas,Yes,Kayseri,Kocasinan,Fevzi Çakmak,"
                    2.095.000 TRY
                  "
128489-258,31-07-2023,For Sale,Apartment,,4 + 1,200 m2,2. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Empty,Floor Easement,,No,"South, West",,,,Kayseri,Talas,Mevlana,"
                    2.550.000 TRY
                  "
132875-395,31-07-2023,For Sale,Apartment,,3 + 1,180 m2,Middle Floor,10 at Age,Central Heating (Share Meter),13 Storey,Available,Furnished,2,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,"South, East",,Gas,Yes,Kayseri,Melikgazi,Gesi Fatih,"
                    1.795.000 TRY
                  "
135461-785,01-08-2023,For Sale,Apartment,Daire,3 + 1,135 m2,Raised Ground Floor,3 at Age,Combi Boiler,4 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Condominium,150 TRY,No,"South, East, West",6.000 TRY,Gas,Yes,Kayseri,Develi,Yeni,"
                    1.600.000 TRY
                  "
124974-160,06-08-2023,For Sale,Apartment,,3 + 1,155 m2,6. Floor,5 at Age,Central,12 Storey,Available,Not Furnished,1,,,Tenanted,Condominium,,No,"North, South, West",,,,Kayseri,Kocasinan,Zümrüt,"
                    1.500.000 TRY
                  "
132355-205,27-07-2023,For Sale,Apartment,Daire,2 + 1,98 m2,Top Floor,New Property,Combi Boiler,3 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,South,8.000 TRY,Gas,Yes,Kayseri,Melikgazi,Keykubat,"
                    1.399.000 TRY
                  "
128470-526,05-08-2023,For Sale,Apartment,,2 + 1,130 m2,2. Floor,New Property,Combi Boiler,4 Storey,Available,Not Furnished,1,,,Empty,Condominium,,No,East,,,,Kayseri,Melikgazi,Gültepe,"
                    2.700.000 TRY
                  "
134967-203,01-08-2023,For Sale,Apartment,,3 + 1,155 m2,1. Floor,21 at Age,Central,9 Storey,Available,Not Furnished,1,,,Empty,Condominium,,No,"North, South",,,,Kayseri,Kocasinan,Sahabiye,"
                    1.850.000 TRY
                  "
135860-16,22-07-2023,For Sale,Detached House,,3 + 1,170 m2,,17 at Age,Combi Boiler,2 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,,Land,1 TRY,,"North, South, East",4.000 TRY,,Yes,Kayseri,Yahyalı,Camikebir,"
                    2.250.000 TRY
                  "
131846-751,02-08-2023,For Sale,Apartment,,3 + 1,175 m2,10. Floor,New Property,Central Heating (Share Meter),12 Storey,Not Available,Not Furnished,2,,,Empty,Condominium,1 TRY,No,"South, West",,,,Kayseri,Melikgazi,Şirintepe,"
                    1.400.000 TRY
                  "
124546-271,28-07-2023,For Sale,Detached House,,2 + 1,676 m2,,11 at Age,Heating Stove,2 Storey,Available,Furnished,1,,,Empty,Condominium,,No,"North, South, East, West",,,,Kayseri,Kocasinan,Bayramhacı,"
                    990.000 TRY
                  "
124591-131,01-08-2023,For Sale,Apartment,Daire,3 + 1,135 m2,Middle Floor,8 at Age,Combi Boiler,4 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Floor Easement,,No,"South, East",,Gas,Yes,Kayseri,Develi,Yeni,"
                    1.200.000 TRY
                  "
133377-150,04-08-2023,For Sale,Villa,Tripleks,6 + 1,400 m2,,15 at Age,Combi Boiler,3 Storey,Available,Not Furnished,3,Masonry,Second Hand,Empty,Condominium,1 TRY,No,"North, South, East, West",26.500 TRY,Gas,Yes,Kayseri,Talas,Harman,"
                    8.750.000 TRY
                  "
131846-749,02-08-2023,For Sale,Apartment,,3 + 1,180 m2,9. Floor,1 at Age,Central,14 Storey,Not Available,Not Furnished,2,,,Owner,Condominium,,No,"South, East",,,,Kayseri,Kocasinan,Ziyagökalp,"
                    2.500.000 TRY
                  "
4594-374,06-08-2023,For Sale,Apartment,Daire,2 + 1,108 m2,7. Floor,New Property,Central,14 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,Floor Easement,,No,"North, East",,Gas,Yes,Kayseri,Talas,Bahçelievler,"
                    2.685.000 TRY
                  "
120399-130,06-08-2023,For Sale,Apartment,Daire,3 + 1,115 m2,Underground 2,New Property,Central Heating (Share Meter),5 Storey,Available,Not Furnished,1,,0,Empty,Condominium,,No,East,5.500 TRY,Gas,Yes,Kayseri,Melikgazi,Tavlusun,"
                    1.540.000 TRY
                  "
133669-208,31-07-2023,For Sale,Apartment,Daire,3 + 1,1.552 m2,13. Floor,10 at Age,Combi Boiler,14 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Empty,Condominium,450 TRY,No,South,6.000 TRY,Gas,Yes,Kayseri,Kocasinan,Mithatpaşa,"
                    1.390.000 TRY
                  "
132998-83,26-07-2023,For Sale,Apartment,Daire,3 + 1,160 m2,8. Floor,5 at Age,Central,10 Storey,Available,Not Furnished,1,,,Tenanted,,300 TRY,No,,,,Yes,Kayseri,Melikgazi,Yıldırım Beyazıt,"
                    2.850.000 TRY
                  "
125486-1418,03-08-2023,For Sale,Villa,,7 + 1,1.143 m2,Garden Floor,4 at Age,Underfloor Heating,3 Storey,Available,Not Furnished,3,,,Owner,Condominium,,No,"North, South, East, West",,,,Kayseri,Melikgazi,Erenköy,"
                    21.500.000 TRY
                  "
116396-190,04-08-2023,For Sale,Apartment,Daire,3 + 1,200 m2,10. Floor,New Property,Central Heating (Share Meter),13 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,,No,"North, South, East",,Gas,Yes,Kayseri,Kocasinan,Zümrüt,"
                    4.376.000 TRY
                  "
129317-142,10-07-2023,For Sale,Apartment,,4 + 1,190 m2,14. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,,,,,,,,,Kayseri,Kocasinan,Beyazşehir,"
                    3.100.000 TRY
                  "
129256-70,29-07-2023,For Sale,Apartment,,3 + 1,135 m2,2. Floor,30 at Age,Combi Boiler,2 Storey,Available,,1,,,,,,,,,,,Kayseri,Kocasinan,Kayabaşı,"
                    875.000 TRY
                  "
