İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yapı Durumu,Eşya Durumu,Banyo Sayısı,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Site İçerisinde,Takas,Fiyat Durumu,Kategori,Konumu,Fiyat,İlan Açıklaması
13692421,05 Ağustos 2023,Satılık,175 M2,0 (Yeni),15,Boş,Sıfır,Boş,2,05 Ağustos 2023,Konut,140 M2,3+1,10.Kat,Merkezi Doğalgaz,Krediye Uygun Değil,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Kocasinan - Sancaktepe Mahallesi,"1,900,000",
13601594,30 Temmuz 2023,Satılık,150 M2,4,8,Mülk Sahibi Oturuyor,Sıfır,,1,21 Temmuz 2023,Konut,130 M2,3+1,2.Kat,Merkezi (Pay Ölçer),,Hayır,Var,Genel Fiyat,Daire,Kayseri - Kocasinan - Barbaros Mahallesi,"1,300,000",Gazi Osman da çarşıya yürüme mesafesinde çok güzel bir konumda satılık 3+1 daire kaçmaz fırsat al otur kiraya ver çarşıya 10 dk yürüme mesafesinde konumu harika çift balkonlu otoparklı altında çift katlı dükkan vardır 3. Kat seviyesindedir pazarlıksız fiyatıdır araç takası değerlendirilir alana hayırlı olsun inşallah.
13579928,18 Temmuz 2023,Satılık,330 M2,0 (Yeni),3,Boş,Sıfır,Boş,3,18 Temmuz 2023,Konut,304 M2,7+2,,Kombi Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,Villa,Kayseri - Melikgazi - Becen Mahallesi,"12,500,000","Becen mah. Aynalı Camii yanında sıfır 11 aya teslim son 2 villamız Satılıktır., 680 m² bahçe içerisinde, 104 m den 3 katatli ve toplamda 312 m² den oluşmaktadir., Site içerisinde güvenlikli, İstenirse içerisine asansör konulabilecek şekilde planlı, 1.sinif malzeme ve 1. sınıf işcilik ile özel tasarım son 2 villamız dan birisi size nasip olsun..., Her katta mutlak, Her katta WC banyo, Her katta özel tasarım ile tüm ihtiyaçlariniza cevap verecek size özel villamizi görmek ve sunum almanız için bir telefon kadar yakınız ..arayınız yardımcı olalım ..."
13412528,04 Ağustos 2023,Satılık,100 M2,4,4,Kiracı Oturuyor,,,1,14 Haziran 2023,Konut,90 M2,3+1,4.Kat,Merkezi Doğalgaz,Bilinmiyor,Hayır,,Genel Fiyat,Daire,Kayseri - Melikgazi - Selçuklu Mahallesi,"2,320,000","Binamız doğalgazlıdır., Tapusu; belediye tapusudur., 209 m2 arsanın içinde her biri 100 m2 olan 4 katlı ev bulunmaktadır., ALICIDAN KOMİSYON ALINMAYACAKTIR"
13477905,31 Temmuz 2023,Satılık,165 M2,0 (Yeni),4,Boş,,,1,25 Haziran 2023,Konut,120 M2,3+1,3.Kat,Merkezi (Pay Ölçer),,Hayır,Var,Genel Fiyat,Daire,Kayseri - Kocasinan - Şeker Mahallesi,"1,450,000",
13580320,18 Temmuz 2023,Satılık,120 M2,0 (Yeni),12,Boş,,,1,18 Temmuz 2023,Konut,110 M2,2+1,5.Kat,Merkezi (Pay Ölçer),Bilinmiyor,Hayır,,Genel Fiyat,Kooperatif,Kayseri - Kocasinan - Ahi Evran Mahallesi,"300,000",
13484181,04 Ağustos 2023,Satılık,170 M2,21 Ve Üzeri,4,Boş,,Boş,1,26 Haziran 2023,Konut,140 M2,3+1,3.Kat,Kombi Doğalgaz,,Hayır,Var,Genel Fiyat,Daire,Kayseri - Melikgazi - Aydınlıkevler Mahallesi,"1,350,000",
13478907,17 Temmuz 2023,Satılık,110 M2,5-10,10,Mülk Sahibi Oturuyor,,,1,25 Haziran 2023,Konut,100 M2,2+1,1.Kat,Merkezi (Pay Ölçer),,Hayır,,Genel Fiyat,Daire,Kayseri - Melikgazi - Esenyurt Mahallesi,"1,099,000",
13591011,21 Temmuz 2023,Satılık,75 M2,5-10,3,Kiracı Oturuyor,,Boş,1,20 Temmuz 2023,Konut,65 M2,2+1,3.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Demokrasi Mahallesi,"760,000",
13624178,05 Ağustos 2023,Satılık,175 M2,0 (Yeni),10,Boş,,,2,26 Temmuz 2023,Konut,140 M2,3+1,4.Kat,Kombi Doğalgaz,,Hayır,,Birim Fiyat,Daire,Kayseri - Melikgazi - Kılıçaslan Mahallesi,"2,580,000",Forum karşısı orta kat merkezi sistem sıfır daire
13623628,26 Temmuz 2023,Satılık,210 M2,0 (Yeni),13,Boş,,,2,26 Temmuz 2023,Konut,190 M2,4+1,4.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Kocasinan - Yakut Mahallesi,"3,940,000",
13641464,04 Ağustos 2023,Satılık,155 M2,21 Ve Üzeri,3,Kiracı Oturuyor,İkinci El,,1,28 Temmuz 2023,Konut,120 M2,3+1,3.Kat,Kombi Doğalgaz,,Hayır,,Genel Fiyat,Daire,Kayseri - Kocasinan - Sahabiye Mahallesi,"1,150,000",Kentsel dönüşüm dairesi kiracili 2.etap tan sözleşme yapıldı
13655276,31 Temmuz 2023,Satılık,300 M2,0 (Yeni),3,Boş,Yapım Aşamasında,,3,31 Temmuz 2023,Konut,250 M2,7+1,,Kombi Doğalgaz,Bilinmiyor,Hayır,Var,Genel Fiyat,Villa,Kayseri - Talas - Tablakaya Mahallesi,"19,500,000",
13657766,31 Temmuz 2023,Satılık,175 M2,0 (Yeni),14,Boş,,Boş,2,31 Temmuz 2023,Konut,155 M2,3+1,1.Kat,Merkezi Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,Daire,Kayseri - Melikgazi - Esentepe Mahallesi,"1,750,000",
13656788,31 Temmuz 2023,Satılık,165 M2,21 Ve Üzeri,7,Mülk Sahibi Oturuyor,,,1,31 Temmuz 2023,Konut,150 M2,3+1,4.Kat,Kombi Doğalgaz,,Hayır,,Genel Fiyat,Daire,Kayseri - Kocasinan - Gevhernesibe Mahallesi,"1,600,000",
13653229,06 Ağustos 2023,Satılık,230 M2,21 Ve Üzeri,2,Boş,,,1,31 Temmuz 2023,Konut,189 M2,9+ Oda,,Sobalı,Krediye Uygun,Hayır,,Genel Fiyat,Müstakil Ev,Kayseri - Talas - Reşadiye Mahallesi,"600,000","Reşadiye yonu taş kargir ev aslına uygun restorasyon yapılabilir, 227 M2 toplam 3 tapu, 2 adet kargir ev tapusu, 1 adet güvercinlik tapusu mevcuttur"
