Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yapı Durumu,Eşya Durumu,Banyo Sayısı,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Site İçerisinde,Kategori,Fiyat,İlan Açıklaması,Şehir,İlçe,Mahalle
175,0 (Yeni),15,Boş,Sıfır,Boş,2,Konut,140,3+1,10.Kat,Merkezi Doğalgaz,Hayır,Daire,1900000,,Kayseri,Kocasinan,Sancaktepe Mahallesi
150,4,8,Mülk Sahibi Oturuyor,Sıfır,,1,Konut,130,3+1,2.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1300000,Gazi Osman da çarşıya yürüme mesafesinde çok güzel bir konumda satılık 3+1 daire kaçmaz fırsat al otur kiraya ver çarşıya 10 dk yürüme mesafesinde konumu harika çift balkonlu otoparklı altında çift katlı dükkan vardır 3. Kat seviyesindedir pazarlıksız fiyatıdır araç takası değerlendirilir alana hayırlı olsun inşallah.,Kayseri,Kocasinan,Barbaros Mahallesi
330,0 (Yeni),3,Boş,Sıfır,Boş,3,Konut,304,7+2,,Kombi Doğalgaz,Hayır,Villa,12500000,"Becen mah. Aynalı Camii yanında sıfır 11 aya teslim son 2 villamız Satılıktır., 680 m² bahçe içerisinde, 104 m den 3 katatli ve toplamda 312 m² den oluşmaktadir., Site içerisinde güvenlikli, İstenirse içerisine asansör konulabilecek şekilde planlı, 1.sinif malzeme ve 1. sınıf işcilik ile özel tasarım son 2 villamız dan birisi size nasip olsun..., Her katta mutlak, Her katta WC banyo, Her katta özel tasarım ile tüm ihtiyaçlariniza cevap verecek size özel villamizi görmek ve sunum almanız için bir telefon kadar yakınız ..arayınız yardımcı olalım ...",Kayseri,Melikgazi,Becen Mahallesi
100,4,4,Kiracı Oturuyor,,,1,Konut,90,3+1,4.Kat,Merkezi Doğalgaz,Hayır,Daire,2320000,"Binamız doğalgazlıdır., Tapusu; belediye tapusudur., 209 m2 arsanın içinde her biri 100 m2 olan 4 katlı ev bulunmaktadır., ALICIDAN KOMİSYON ALINMAYACAKTIR",Kayseri,Melikgazi,Selçuklu Mahallesi
165,0 (Yeni),4,Boş,,,1,Konut,120,3+1,3.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1450000,,Kayseri,Kocasinan,Şeker Mahallesi
120,0 (Yeni),12,Boş,,,1,Konut,110,2+1,5.Kat,Merkezi (Pay Ölçer),Hayır,Kooperatif,300000,,Kayseri,Kocasinan,Ahi Evran Mahallesi
170,21 Ve Üzeri,4,Boş,,Boş,1,Konut,140,3+1,3.Kat,Kombi Doğalgaz,Hayır,Daire,1350000,,Kayseri,Melikgazi,Aydınlıkevler Mahallesi
110,5-10,10,Mülk Sahibi Oturuyor,,,1,Konut,100,2+1,1.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1099000,,Kayseri,Melikgazi,Esenyurt Mahallesi
75,5-10,3,Kiracı Oturuyor,,Boş,1,Konut,65,2+1,3.Kat,Merkezi (Pay Ölçer),Hayır,Daire,760000,,Kayseri,Melikgazi,Demokrasi Mahallesi
175,0 (Yeni),10,Boş,,,2,Konut,140,3+1,4.Kat,Kombi Doğalgaz,Hayır,Daire,2580000,Forum karşısı orta kat merkezi sistem sıfır daire,Kayseri,Melikgazi,Kılıçaslan Mahallesi
