Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yapı Durumu,Eşya Durumu,Banyo Sayısı,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Site İçerisinde,Kategori,Fiyat,Şehir,İlçe,Mahalle
175,0,15,0,0,0,1,0,140,8,1,6,1,1,1900000,0,4,95
150,7,8,2,0,2,0,0,130,8,1,5,1,1,1300000,0,4,17
330,0,3,0,0,0,2,0,304,23,12,4,1,6,12500000,0,5,21
100,7,4,1,3,2,0,0,90,8,1,6,1,1,2320000,0,5,100
165,0,4,0,3,2,0,0,120,8,1,5,1,1,1450000,0,4,135
120,0,12,0,3,2,0,0,110,4,1,5,1,2,300000,0,4,2
170,5,4,0,3,0,0,0,140,8,1,4,1,1,1350000,0,5,11
110,8,10,2,3,2,0,0,100,4,1,5,1,1,1099000,0,5,38
75,8,3,1,3,0,0,0,65,4,1,5,1,1,760000,0,5,31
175,0,10,0,3,2,1,0,140,8,1,4,1,1,2580000,0,5,78
210,0,13,0,3,2,1,0,190,12,1,5,1,1,3940000,0,4,111
155,5,3,1,2,2,0,0,120,8,1,4,1,1,1150000,0,4,93
300,0,3,0,1,2,2,0,250,22,12,4,1,6,19500000,0,7,105
175,0,14,0,3,0,1,0,155,8,1,6,1,1,1750000,0,5,37
165,5,7,2,3,2,0,0,150,8,1,4,1,1,1600000,0,4,51
230,5,2,0,3,2,0,0,189,28,12,8,1,4,600000,0,7,92
175,1,6,0,3,0,1,0,135,8,1,4,1,1,1625000,0,5,136
175,2,14,0,2,2,1,0,140,8,1,4,1,1,2050000,0,7,82
175,0,7,0,3,0,0,0,150,8,1,5,1,1,2750000,0,4,110
170,2,14,0,2,2,0,0,137,8,2,6,1,1,2150000,0,5,5
155,0,14,0,3,0,1,0,120,8,1,6,0,1,310000,0,5,107
185,4,9,0,3,0,1,0,165,12,1,5,1,1,2150000,0,4,89
185,5,12,1,2,2,0,0,160,8,9,6,1,1,1650000,0,4,33
180,0,10,0,0,0,1,0,140,8,1,5,1,1,1800000,0,4,89
110,8,11,0,3,2,0,0,100,4,1,6,1,1,1130000,0,5,9
