,İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Krediye Uygunluk
0,13639733,28 Temmuz 2023,Satılık,165 M2,5-10,12,Mülk Sahibi Oturuyor,28 Temmuz 2023,Konut,135 M2,3+1,10.Kat,Kombi Doğalgaz,1.770.000TL,Kayseri - Melikgazi - Aydınlıkevler Mahallesi,
1,13639330,28 Temmuz 2023,Satılık,165 M2,11-15,12,Boş,28 Temmuz 2023,Konut,130 M2,3+1,6.Kat,Merkezi Doğalgaz,1.380.000TL,Kayseri - Melikgazi - Osman Kavuncu Mahallesi,
2,13639289,28 Temmuz 2023,Satılık,165 M2,0 (Yeni),9,Boş,28 Temmuz 2023,Konut,120 M2,3+1,3.Kat,Kombi Doğalgaz,2.000.000TL,Kayseri - Melikgazi - Aydınlıkevler Mahallesi,
3,13638179,28 Temmuz 2023,Satılık,150 M2,11-15,7,Boş,28 Temmuz 2023,Konut,130 M2,3+1,7.Kat,Merkezi (Pay Ölçer),1.280.000TL,Kayseri - Melikgazi - Bahçelievler Mahallesi,
4,13638101,28 Temmuz 2023,Satılık,175 M2,5-10,13,Mülk Sahibi Oturuyor,28 Temmuz 2023,Konut,135 M2,3+1,12.Kat,Merkezi (Pay Ölçer),1.600.000TL,Kayseri - Melikgazi - Bahçelievler Mahallesi,
5,13637546,28 Temmuz 2023,Satılık,150 M2,5-10,8,Mülk Sahibi Oturuyor,28 Temmuz 2023,Konut,120 M2,3+1,4.Kat,Merkezi Doğalgaz,1.600.000TL,Kayseri - Melikgazi - Kazımkarabekir Mahallesi,
6,13636784,28 Temmuz 2023,Satılık,195 M2,11-15,7,Mülk Sahibi Oturuyor,28 Temmuz 2023,Konut,175 M2,3+1,3.Kat,Merkezi Doğalgaz,2.100.000TL,Kayseri - Melikgazi - Gülük Mahallesi,
7,13636501,28 Temmuz 2023,Satılık,110 M2,5-10,9,Mülk Sahibi Oturuyor,28 Temmuz 2023,Konut,70 M2,1+1,6.Kat,Kombi Doğalgaz,755.000TL,Kayseri - Melikgazi - Selçuklu Mahallesi,
8,13639170,28 Temmuz 2023,Satılık,304 M2,16-20,1,Kiracı Oturuyor,28 Temmuz 2023,Konut,85 M2,2+1,Bahçe Katı,Sobalı,1.450.000TL,Kayseri - Melikgazi - Fatih Mahallesi,
9,13639148,28 Temmuz 2023,Satılık,120 M2,0 (Yeni),13,Boş,28 Temmuz 2023,Konut,100 M2,2+1,1.Kat,Merkezi Doğalgaz,1.400.000TL,Kayseri - Melikgazi - Gesi Fatih Mahallesi,
10,13639048,28 Temmuz 2023,Satılık,150 M2,5-10,14,Boş,28 Temmuz 2023,Konut,110 M2,3+1,5.Kat,Kombi Doğalgaz,1.500.000TL,Kayseri - Melikgazi - Şirintepe Mahallesi,
11,13638576,28 Temmuz 2023,Satılık,175 M2,11-15,14,Boş,28 Temmuz 2023,Konut,130 M2,3+1,13.Kat,Merkezi Doğalgaz,2.150.000TL,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,
12,13636783,28 Temmuz 2023,Satılık,175 M2,16-20,8,Boş,28 Temmuz 2023,Konut,155 M2,3+1,3.Kat,Kombi Doğalgaz,1.499.000TL,Kayseri - Melikgazi - Esenyurt Mahallesi,
13,13636666,29 Temmuz 2023,Satılık,200 M2,11-15,14,Boş,28 Temmuz 2023,Konut,160 M2,3+1,12.Kat,Merkezi (Pay Ölçer),3.225.000TL,Kayseri - Melikgazi - Köşk Mahallesi,
14,13629910,27 Temmuz 2023,Satılık,140 M2,21 Ve Üzeri,2,Boş,27 Temmuz 2023,Konut,120 M2,4+0,Düz Giriş,Sobalı,220.000TL,Kayseri - Melikgazi - Gürpınar Mahallesi,
15,13626930,28 Temmuz 2023,Satılık,175 M2,0 (Yeni),10,Boş,26 Temmuz 2023,Konut,150 M2,3+1,5.Kat,Merkezi (Pay Ölçer),1.875.000TL,Kayseri - Melikgazi - Gesi Fatih Mahallesi,
16,13625950,30 Temmuz 2023,Satılık,175 M2,0 (Yeni),8,Boş,26 Temmuz 2023,Konut,135 M2,3+1,3.Kat,Kombi Doğalgaz,1.590.000TL,Kayseri - Melikgazi - Şirintepe Mahallesi,
