,İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Krediye Uygunluk,Yatırıma Uygunluk,Yapı Durumu
0,13646817,29 Temmuz 2023,Satılık,180 M2,0 (Yeni),7,Boş,29 Temmuz 2023,Konut,150 M2,3.5+1,2.Kat,Kombi Doğalgaz,3.200.000TL,Kayseri - Melikgazi - Germir Mahallesi,,,
1,13646763,29 Temmuz 2023,Satılık,165 M2,0 (Yeni),2,Boş,29 Temmuz 2023,Konut,125 M2,3+1,Düz Giriş,Kombi Doğalgaz,4.500.000TL,Kayseri - Kocasinan - Ertuğrul Gazi Mahallesi,,,
2,13646753,29 Temmuz 2023,Satılık,110 M2,5-10,9,Boş,29 Temmuz 2023,Konut,100 M2,2+1,Düz Giriş,Merkezi (Pay Ölçer),920.000TL,Kayseri - Melikgazi - Battalgazi Mahallesi,,,
3,13646618,30 Temmuz 2023,Satılık,210 M2,5-10,11,Mülk Sahibi Oturuyor,29 Temmuz 2023,Konut,155 M2,3+2,11.Kat,Merkezi (Pay Ölçer),2.600.000TL,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,,,
4,13646589,29 Temmuz 2023,Satılık,155 M2,2,13,Boş,29 Temmuz 2023,Konut,135 M2,3+1,12.Kat,Merkezi Doğalgaz,2.300.000TL,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,,,
5,13645086,29 Temmuz 2023,Satılık,175 M2,4,11,Kiracı Oturuyor,29 Temmuz 2023,Konut,140 M2,3+1,4.Kat,Merkezi Doğalgaz,1.735.000TL,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Krediye Uygun Değil,,
6,13644778,29 Temmuz 2023,Satılık,165 M2,5-10,6,Boş,29 Temmuz 2023,Konut,140 M2,3+1,3.Kat,Kombi Doğalgaz,2.525.000TL,Kayseri - Kocasinan - Zümrüt Mahallesi,,,
7,13644537,29 Temmuz 2023,Satılık,135 M2,16-20,7,Boş,29 Temmuz 2023,Konut,120 M2,3+1,7.Kat,Merkezi Doğalgaz,1.250.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,,
8,13644232,29 Temmuz 2023,Satılık,100 M2,21 Ve Üzeri,2,Boş,29 Temmuz 2023,Konut,80 M2,2+1,Düz Giriş,Kombi Doğalgaz,1.650.000TL,Kayseri - Melikgazi - Gesi Mahallesi,Krediye Uygun Değil,,
9,13642861,29 Temmuz 2023,Satılık,145 M2,16-20,9,Mülk Sahibi Oturuyor,29 Temmuz 2023,Konut,120 M2,3+1,9.Kat,Merkezi Doğalgaz,1.300.000TL,Kayseri - Melikgazi - Altınoluk Mahallesi,,,
