,İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Krediye Uygunluk
0,13630139,27 Temmuz 2023,Satılık,45 M2,5-10,14,Kiracı Oturuyor,27 Temmuz 2023,Konut,30 M2,1+1,9.Kat,Merkezi (Pay Ölçer),850.000TL,Kayseri - Talas - Mevlana Mahallesi,
1,13629404,27 Temmuz 2023,Satılık,43 M2,21 Ve Üzeri,1,Boş,27 Temmuz 2023,Konut,42 M2,2+0,Düz Giriş,Isıtma Yok,1.100.000TL,Kayseri - Talas - Tablakaya Mahallesi,
2,13628606,27 Temmuz 2023,Satılık,175 M2,11-15,9,Boş,26 Temmuz 2023,Konut,145 M2,3+1,5.Kat,Merkezi Doğalgaz,1.950.000TL,Kayseri - Talas - Yenidoğan Mahallesi,
3,13649882,30 Temmuz 2023,Satılık,135 M2,11-15,14,Kiracı Oturuyor,30 Temmuz 2023,Konut,110 M2,3+1,12.Kat,Merkezi Doğalgaz,1.235.000TL,Kayseri - Talas - Mevlana Mahallesi,
4,13649412,30 Temmuz 2023,Satılık,180 M2,0 (Yeni),14,Boş,30 Temmuz 2023,Konut,140 M2,4+1,2.Kat,Merkezi (Pay Ölçer),2.585.000TL,Kayseri - Talas - Mevlana Mahallesi,
5,13649392,30 Temmuz 2023,Satılık,240 M2,11-15,13,Boş,30 Temmuz 2023,Konut,200 M2,4+1,8.Kat,Merkezi (Pay Ölçer),2.875.000TL,Kayseri - Talas - Mevlana Mahallesi,
6,13642122,29 Temmuz 2023,Satılık,200 M2,0 (Yeni),1,Boş,29 Temmuz 2023,Konut,155 M2,1+1,Düz Giriş,Sobalı,1.890.000TL,Kayseri - Hacılar - Akyazı Mahallesi,Krediye Uygun Değil
7,13636781,28 Temmuz 2023,Satılık,140 M2,5-10,13,Boş,28 Temmuz 2023,Konut,110 M2,3+1,10.Kat,Merkezi (Pay Ölçer),2.200.000TL,Kayseri - Talas - Mevlana Mahallesi,
8,13636779,28 Temmuz 2023,Satılık,175 M2,5-10,14,Mülk Sahibi Oturuyor,28 Temmuz 2023,Konut,150 M2,3+1,13.Kat,Merkezi (Pay Ölçer),2.100.000TL,Kayseri - Talas - Bahçelievler Mahallesi,
9,13635904,28 Temmuz 2023,Satılık,110 M2,0 (Yeni),7,Boş,28 Temmuz 2023,Konut,90 M2,2.5+1,5.Kat,Kombi Doğalgaz,1.950.000TL,Kayseri - Talas - Tablakaya Mahallesi,
10,13625210,26 Temmuz 2023,Satılık,200 M2,2,4,Boş,26 Temmuz 2023,Konut,170 M2,4+1,Çatı Katı,Kombi Doğalgaz,1.575.000TL,Kayseri - Develi - Harman Mahallesi,Bilinmiyor
11,13624018,28 Temmuz 2023,Satılık,175 M2,11-15,14,Kiracı Oturuyor,26 Temmuz 2023,Konut,135 M2,3+1,11.Kat,Merkezi (Pay Ölçer),1.500.000TL,Kayseri - Talas - Mevlana Mahallesi,
12,13622524,25 Temmuz 2023,Satılık,100 M2,2,13,Kiracı Oturuyor,25 Temmuz 2023,Konut,85 M2,2+1,3.Kat,Merkezi (Pay Ölçer),1.400.000TL,Kayseri - Talas - Mevlana Mahallesi,
13,13622423,26 Temmuz 2023,Satılık,125 M2,5-10,14,Kiracı Oturuyor,25 Temmuz 2023,Konut,90 M2,2+1,12.Kat,Merkezi (Pay Ölçer),1.250.000TL,Kayseri - Talas - Mevlana Mahallesi,
14,13622416,27 Temmuz 2023,Satılık,195 M2,5-10,13,Kiracı Oturuyor,25 Temmuz 2023,Konut,165 M2,3+1,12.Kat,Merkezi (Pay Ölçer),2.200.000TL,Kayseri - Talas - Yenidoğan Mahallesi,
15,13622411,28 Temmuz 2023,Satılık,130 M2,1,14,Kiracı Oturuyor,25 Temmuz 2023,Konut,100 M2,2+1,3.Kat,Merkezi (Pay Ölçer),1.375.000TL,Kayseri - Talas - Mevlana Mahallesi,
