Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Şehir,İlçe,Mahalle
0 (Yeni),7,0,Konut,150,3.5+1,2.Kat,Kombi Doğalgaz,3200000,Kayseri - Melikgazi - Germir Mahallesi,Kayseri,4,Germir Mahallesi
0 (Yeni),2,0,Konut,125,3+1,Düz Giriş,Kombi Doğalgaz,4500000,Kayseri - Kocasinan - Ertuğrul Gazi Mahallesi,Kayseri,3,Ertuğrul Gazi Mahallesi
5-10,9,0,Konut,100,2+1,Düz Giriş,Merkezi (Pay Ölçer),920000,Kayseri - Melikgazi - Battalgazi Mahallesi,Kayseri,4,Battalgazi Mahallesi
5-10,11,2,Konut,155,3+2,11.Kat,Merkezi (Pay Ölçer),2600000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
2,13,0,Konut,135,3+1,12.Kat,Merkezi Doğalgaz,2300000,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Kayseri,4,Yıldırım Beyazıt Mahallesi
4,11,1,Konut,140,3+1,4.Kat,Merkezi Doğalgaz,1735000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
5-10,6,0,Konut,140,3+1,3.Kat,Kombi Doğalgaz,2525000,Kayseri - Kocasinan - Zümrüt Mahallesi,Kayseri,3,Zümrüt Mahallesi
16-20,7,0,Konut,120,3+1,7.Kat,Merkezi Doğalgaz,1250000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
21 Ve Üzeri,2,0,Konut,80,2+1,Düz Giriş,Kombi Doğalgaz,1650000,Kayseri - Melikgazi - Gesi Mahallesi,Kayseri,4,Gesi Mahallesi
16-20,9,2,Konut,120,3+1,9.Kat,Merkezi Doğalgaz,1300000,Kayseri - Melikgazi - Altınoluk Mahallesi,Kayseri,4,Altınoluk Mahallesi
0 (Yeni),8,0,Konut,125,3+1,5.Kat,Merkezi (Pay Ölçer),2380000,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Kayseri,3,Mithatpaşa Mahallesi
3,10,0,Konut,105,2+1,5.Kat,Merkezi Doğalgaz,1390000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
1,12,0,Konut,130,3+1,5.Kat,Merkezi (Pay Ölçer),1950000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
5-10,4,0,Konut,190,4+1,4.Kat,Merkezi (Pay Ölçer),2300000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
5-10,12,2,Konut,135,3+1,10.Kat,Kombi Doğalgaz,1770000,Kayseri - Melikgazi - Aydınlıkevler Mahallesi,Kayseri,4,Aydınlıkevler Mahallesi
11-15,12,0,Konut,130,3+1,6.Kat,Merkezi Doğalgaz,1380000,Kayseri - Melikgazi - Osman Kavuncu Mahallesi,Kayseri,4,Osman Kavuncu Mahallesi
0 (Yeni),9,0,Konut,120,3+1,3.Kat,Kombi Doğalgaz,2000000,Kayseri - Melikgazi - Aydınlıkevler Mahallesi,Kayseri,4,Aydınlıkevler Mahallesi
0 (Yeni),14,0,Konut,155,4+1,3.Kat,Merkezi (Pay Ölçer),2750000,Kayseri - Kocasinan - Zümrüt Mahallesi,Kayseri,3,Zümrüt Mahallesi
11-15,7,0,Konut,130,3+1,7.Kat,Merkezi (Pay Ölçer),1280000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
11-15,10,0,Konut,135,3+1,3.Kat,Kombi Doğalgaz,1575000,Kayseri - Kocasinan - Yeşil Mahallesi,Kayseri,3,Yeşil Mahallesi
5-10,13,2,Konut,135,3+1,12.Kat,Merkezi (Pay Ölçer),1600000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
5-10,8,2,Konut,120,3+1,4.Kat,Merkezi Doğalgaz,1600000,Kayseri - Melikgazi - Kazımkarabekir Mahallesi,Kayseri,4,Kazımkarabekir Mahallesi
5-10,13,1,Konut,165,3+1,1.Kat,Merkezi (Pay Ölçer),1895000,Kayseri - Kocasinan - Saray Bosna Mahallesi,Kayseri,3,Saray Bosna Mahallesi
11-15,7,2,Konut,175,3+1,3.Kat,Merkezi Doğalgaz,2100000,Kayseri - Melikgazi - Gülük Mahallesi,Kayseri,4,Gülük Mahallesi
21 Ve Üzeri,5,0,Konut,100,2+1,Düz Giriş,Merkezi Doğalgaz,955000,Kayseri - Kocasinan - Mevlana Mahallesi,Kayseri,3,Mevlana Mahallesi
21 Ve Üzeri,5,1,Konut,105,2+1,3.Kat,Kombi Doğalgaz,900000,Kayseri - Melikgazi - Gülük Mahallesi,Kayseri,4,Gülük Mahallesi
5-10,3,0,Konut,145,3+1,2.Kat,Kombi Doğalgaz,1635000,Kayseri - Melikgazi - Esentepe Mahallesi,Kayseri,4,Esentepe Mahallesi
5-10,8,1,Konut,270,3+1,4.Kat,Merkezi Doğalgaz,2550000,Kayseri - Melikgazi - Esentepe Mahallesi,Kayseri,4,Esentepe Mahallesi
11-15,9,2,Konut,145,3+1,5.Kat,Merkezi (Pay Ölçer),2095000,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Kayseri,4,Yıldırım Beyazıt Mahallesi
5-10,14,0,Konut,130,3+1,3.Kat,Merkezi Doğalgaz,1485000,Kayseri - Melikgazi - Şirintepe Mahallesi,Kayseri,4,Şirintepe Mahallesi
5-10,13,0,Konut,165,3+1,3.Kat,Merkezi Doğalgaz,1485000,Kayseri - Melikgazi - Şirintepe Mahallesi,Kayseri,4,Şirintepe Mahallesi
4,13,0,Konut,130,3+1,7.Kat,Merkezi Doğalgaz,1770000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
0 (Yeni),5,0,Konut,100,2+1,2.Kat,Kombi Doğalgaz,1450000,Kayseri - Melikgazi - Hürriyet Mahallesi,Kayseri,4,Hürriyet Mahallesi
2,12,1,Konut,120,3+1,4.Kat,Merkezi (Pay Ölçer),1445000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
3,19,0,Konut,170,4+1,17.Kat,Merkezi (Pay Ölçer),2850000,Kayseri - Kocasinan - Sahabiye Mahallesi,Kayseri,3,Sahabiye Mahallesi
4,5,2,Konut,165,4+1,2.Kat,Merkezi Doğalgaz,3000000,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Kayseri,3,Mithatpaşa Mahallesi
0 (Yeni),12,0,Konut,135,3+1,1.Kat,Merkezi (Pay Ölçer),1595000,Kayseri - Melikgazi - Fatih Mahallesi,Kayseri,4,Fatih Mahallesi
5-10,12,2,Konut,160,3+1,7.Kat,Merkezi (Pay Ölçer),1575000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
11-15,9,0,Konut,115,3+1,7.Kat,Merkezi (Pay Ölçer),1350000,Kayseri - Melikgazi - Esentepe Mahallesi,Kayseri,4,Esentepe Mahallesi
16-20,1,0,Konut,237,3+1,Düz Giriş,Sobalı,870000,Kayseri - Melikgazi - Kazımkarabekir Mahallesi,Kayseri,4,Kazımkarabekir Mahallesi
0 (Yeni),12,0,Konut,138,3+1,6.Kat,Merkezi (Pay Ölçer),2080000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
21 Ve Üzeri,11,0,Konut,130,3+1,10.Kat,Merkezi Doğalgaz,1800000,Kayseri - Melikgazi - Osman Kavuncu Mahallesi,Kayseri,4,Osman Kavuncu Mahallesi
21 Ve Üzeri,6,2,Konut,110,3+1,Düz Giriş,Merkezi (Pay Ölçer),970000,Kayseri - Kocasinan - Mevlana Mahallesi,Kayseri,3,Mevlana Mahallesi
4,14,1,Konut,210,4+1,13.Kat,Merkezi (Pay Ölçer),7000000,Kayseri - Kocasinan - Erciyesevler Mahallesi,Kayseri,3,Erciyesevler Mahallesi
11-15,8,1,Konut,150,3+1,3.Kat,Kombi Doğalgaz,1588000,Kayseri - Kocasinan - Kocasinan Mahallesi,Kayseri,3,Kocasinan Mahallesi
16-20,4,2,Konut,155,3+1,1.Kat,Kombi Doğalgaz,1320000,Kayseri - Melikgazi - Keykubat Mahallesi,Kayseri,4,Keykubat Mahallesi
3,14,1,Konut,160,3+1,5.Kat,Merkezi (Pay Ölçer),330000000,Kayseri - Kocasinan - Uğurevler Mahallesi,Kayseri,3,Uğurevler Mahallesi
5-10,12,2,Konut,125,3+1,2.Kat,Merkezi Doğalgaz,1900000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
16-20,8,2,Konut,135,2+1,5.Kat,Kombi Doğalgaz,1250000,Kayseri - Kocasinan - Mimarsinan Mahallesi,Kayseri,3,Mimarsinan Mahallesi
16-20,1,1,Konut,85,2+1,Bahçe Katı,Sobalı,1450000,Kayseri - Melikgazi - Fatih Mahallesi,Kayseri,4,Fatih Mahallesi
0 (Yeni),13,0,Konut,100,2+1,1.Kat,Merkezi Doğalgaz,1400000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
5-10,14,0,Konut,110,3+1,5.Kat,Kombi Doğalgaz,1500000,Kayseri - Melikgazi - Şirintepe Mahallesi,Kayseri,4,Şirintepe Mahallesi
11-15,14,0,Konut,130,3+1,13.Kat,Merkezi Doğalgaz,2150000,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Kayseri,4,Yıldırım Beyazıt Mahallesi
0 (Yeni),12,0,Konut,130,3+0,5.Kat,Merkezi (Pay Ölçer),1550000,Kayseri - Kocasinan - Şeker Mahallesi,Kayseri,3,Şeker Mahallesi
16-20,8,0,Konut,155,3+1,3.Kat,Kombi Doğalgaz,1499000,Kayseri - Melikgazi - Esenyurt Mahallesi,Kayseri,4,Esenyurt Mahallesi
11-15,14,0,Konut,160,3+1,12.Kat,Merkezi (Pay Ölçer),3225000,Kayseri - Melikgazi - Köşk Mahallesi,Kayseri,4,Köşk Mahallesi
21 Ve Üzeri,7,1,Konut,110,2+1,Düz Giriş,Merkezi (Pay Ölçer),820000,Kayseri - Kocasinan - Fevzi Çakmak Mahallesi,Kayseri,3,Fevzi Çakmak Mahallesi
16-20,2,1,Konut,981,5+1,Düz Giriş,Sobalı,1700000,Kayseri - Melikgazi - Gürpınar Mahallesi,Kayseri,4,Gürpınar Mahallesi
21 Ve Üzeri,2,0,Konut,120,4+0,Düz Giriş,Sobalı,220000,Kayseri - Melikgazi - Gürpınar Mahallesi,Kayseri,4,Gürpınar Mahallesi
21 Ve Üzeri,5,1,Konut,140,3+1,Düz Giriş,Kombi Doğalgaz,1050000,Kayseri - Kocasinan - Yeni Mahallesi,Kayseri,3,Yeni Mahallesi
1,13,1,Konut,73,2+1,6.Kat,Merkezi (Pay Ölçer),1550000,Kayseri - Kocasinan - Şeker Mahallesi,Kayseri,3,Şeker Mahallesi
16-20,2,0,Konut,140,3+1,Düz Giriş,Kat Kaloriferi,2850000,Kayseri - Kocasinan - Boztepe Mahallesi,Kayseri,3,Boztepe Mahallesi
11-15,6,0,Konut,112,3+1,3.Kat,Merkezi Doğalgaz,1200000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
0 (Yeni),14,0,Konut,125,3+1,6.Kat,Merkezi Doğalgaz,403000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Kayseri,3,Ahi Evran Mahallesi
0 (Yeni),10,0,Konut,150,3+1,5.Kat,Merkezi (Pay Ölçer),1875000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
0 (Yeni),8,0,Konut,135,3+1,3.Kat,Kombi Doğalgaz,1590000,Kayseri - Melikgazi - Şirintepe Mahallesi,Kayseri,4,Şirintepe Mahallesi
5-10,7,0,Konut,125,3+1,7.Kat,Kombi Doğalgaz,1280000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
0 (Yeni),7,0,Konut,125,3+1,3.Kat,Merkezi (Pay Ölçer),1565000,Kayseri - Kocasinan - Osmangazi Mahallesi,Kayseri,3,Osmangazi Mahallesi
4,13,0,Konut,130,3+1,7.Kat,Merkezi (Pay Ölçer),1770000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
16-20,4,1,Konut,130,3+1,Çatı Katı,Kombi Doğalgaz,1550000,Kayseri - Kocasinan - Zümrüt Mahallesi,Kayseri,3,Zümrüt Mahallesi
5-10,14,1,Konut,200,4+1,4.Kat,Merkezi (Pay Ölçer),2485000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
0 (Yeni),13,0,Konut,190,4+1,4.Kat,Merkezi (Pay Ölçer),3940000,Kayseri - Kocasinan - Yakut Mahallesi,Kayseri,3,Yakut Mahallesi
0 (Yeni),12,0,Konut,150,3+1,1.Kat,Merkezi Doğalgaz,1275000,Kayseri - Melikgazi - 19 Mayıs Mahallesi,Kayseri,4,19 Mayıs Mahallesi
0 (Yeni),14,0,Konut,120,3+1,7.Kat,Merkezi (Pay Ölçer),1750000,Kayseri - Kocasinan - Ziyagökalp Mahallesi,Kayseri,3,Ziyagökalp Mahallesi
0 (Yeni),6,0,Konut,150,3+1,5.Kat,Kombi Doğalgaz,1350000,Kayseri - Melikgazi - Şirintepe Mahallesi,Kayseri,4,Şirintepe Mahallesi
5-10,12,0,Konut,240,4+1,6.Kat,Merkezi (Pay Ölçer),4575000,Kayseri - Kocasinan - Mimarsinan Mahallesi,Kayseri,3,Mimarsinan Mahallesi
2,4,0,Konut,125,3+1,Düz Giriş,Merkezi (Pay Ölçer),1450000,Kayseri - Kocasinan - Oruçreis Mahallesi,Kayseri,3,Oruçreis Mahallesi
21 Ve Üzeri,2,2,Konut,100,3+1,Bahçe Katı,Kombi Doğalgaz,1630000,Kayseri - Kocasinan - Yenişehir Mahallesi,Kayseri,3,Yenişehir Mahallesi
0 (Yeni),8,0,Konut,103,2.5+1,7.Kat,Merkezi (Pay Ölçer),1775000,Kayseri - Melikgazi - Battalgazi Mahallesi,Kayseri,4,Battalgazi Mahallesi
5-10,12,0,Konut,155,3+1,12.Kat,Merkezi Doğalgaz,1730000,Kayseri - Melikgazi - Esentepe Mahallesi,Kayseri,4,Esentepe Mahallesi
11-15,14,1,Konut,140,3+1,2.Kat,Merkezi Fueloil,2800000,Kayseri - Melikgazi - Gültepe Mahallesi,Kayseri,4,Gültepe Mahallesi
4,9,0,Konut,145,3+1,8.Kat,Merkezi (Pay Ölçer),1799000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
16-20,14,0,Konut,230,4+1,12.Kat,Merkezi Fueloil,3985000,Kayseri - Melikgazi - Alpaslan Mahallesi,Kayseri,4,Alpaslan Mahallesi
0 (Yeni),9,0,Konut,94,2+1,2.Kat,Merkezi Doğalgaz,287000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Kayseri,3,Ahi Evran Mahallesi
