Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,Şehir,İlçe,Mahalle
0,7,0,0,150,9,1,5,3200000,0,4,47
0,2,0,0,125,7,8,5,4500000,0,3,36
8,9,0,0,100,4,8,6,920000,0,4,17
8,11,2,0,155,8,2,6,2600000,0,4,135
4,13,0,0,135,7,2,7,2300000,0,4,127
7,11,1,0,140,7,1,7,1735000,0,4,124
8,6,0,0,140,7,1,5,2525000,0,3,131
3,7,0,0,120,7,1,7,1250000,0,3,20
5,2,0,0,80,4,8,5,1650000,0,4,49
3,9,2,0,120,7,1,7,1300000,0,4,7
0,8,0,0,125,7,1,6,2380000,0,3,88
6,10,0,0,105,4,1,7,1390000,0,4,124
1,12,0,0,130,7,1,6,1950000,0,4,124
8,4,0,0,190,11,1,6,2300000,0,4,135
8,12,2,0,135,7,1,5,1770000,0,4,11
2,12,0,0,130,7,1,7,1380000,0,4,91
0,9,0,0,120,7,1,5,2000000,0,4,11
0,14,0,0,155,11,1,6,2750000,0,3,131
2,7,0,0,130,7,1,6,1280000,0,4,15
2,10,0,0,135,7,1,5,1575000,0,3,122
8,13,2,0,135,7,2,6,1600000,0,4,15
8,8,2,0,120,7,1,7,1600000,0,4,74
8,13,1,0,165,7,1,6,1895000,0,3,100
2,7,2,0,175,7,1,7,2100000,0,4,56
5,5,0,0,100,4,8,7,955000,0,3,86
5,5,1,0,105,4,1,5,900000,0,4,56
8,3,0,0,145,7,1,5,1635000,0,4,37
8,8,1,0,270,7,1,7,2550000,0,4,37
2,9,2,0,145,7,1,6,2095000,0,4,127
8,14,0,0,130,7,1,7,1485000,0,4,138
8,13,0,0,165,7,1,7,1485000,0,4,138
7,13,0,0,130,7,1,7,1770000,0,4,135
0,5,0,0,100,4,1,5,1450000,0,4,67
4,12,1,0,120,7,1,6,1445000,0,3,20
6,19,0,0,170,11,2,6,2850000,0,3,96
7,5,2,0,165,11,1,7,3000000,0,3,88
0,12,0,0,135,7,1,6,1595000,0,4,40
8,12,2,0,160,7,1,6,1575000,0,3,20
2,9,0,0,115,7,1,6,1350000,0,4,37
3,1,0,0,237,7,8,9,870000,0,4,74
0,12,0,0,138,7,1,6,2080000,0,4,48
5,11,0,0,130,7,1,7,1800000,0,4,91
5,6,2,0,110,7,8,6,970000,0,3,86
7,14,1,0,210,11,2,6,7000000,0,3,33
2,8,1,0,150,7,1,5,1588000,0,3,78
3,4,2,0,155,7,1,5,1320000,0,4,76
6,14,1,0,160,7,1,6,330000000,0,3,113
8,12,2,0,125,7,1,7,1900000,0,4,135
3,8,2,0,135,4,1,5,1250000,0,3,87
3,1,1,0,85,4,4,9,1450000,0,4,40
0,13,0,0,100,4,1,7,1400000,0,4,48
8,14,0,0,110,7,1,5,1500000,0,4,138
2,14,0,0,130,7,2,7,2150000,0,4,127
0,12,0,0,130,6,1,6,1550000,0,3,137
3,8,0,0,155,7,1,5,1499000,0,4,38
2,14,0,0,160,7,2,6,3225000,0,4,81
