Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Şehir,İlçe,Mahalle
180 M2,0 (Yeni),7,Boş,Konut,150 M2,3.5+1,2.Kat,Kombi Doğalgaz,3200000,Kayseri - Melikgazi - Germir Mahallesi,Kayseri,Melikgazi,Germir Mahallesi
165 M2,0 (Yeni),2,Boş,Konut,125 M2,3+1,Düz Giriş,Kombi Doğalgaz,4500000,Kayseri - Kocasinan - Ertuğrul Gazi Mahallesi,Kayseri,Kocasinan,Ertuğrul Gazi Mahallesi
110 M2,5-10,9,Boş,Konut,100 M2,2+1,Düz Giriş,Merkezi (Pay Ölçer),920000,Kayseri - Melikgazi - Battalgazi Mahallesi,Kayseri,Melikgazi,Battalgazi Mahallesi
210 M2,5-10,11,Mülk Sahibi Oturuyor,Konut,155 M2,3+2,11.Kat,Merkezi (Pay Ölçer),2600000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,Melikgazi,İldem Cumhuriyet Mahallesi
155 M2,2,13,Boş,Konut,135 M2,3+1,12.Kat,Merkezi Doğalgaz,2300000,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Kayseri,Melikgazi,Yıldırım Beyazıt Mahallesi
175 M2,4,11,Kiracı Oturuyor,Konut,140 M2,3+1,4.Kat,Merkezi Doğalgaz,1735000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,Melikgazi,Yeşilyurt Mahallesi
165 M2,5-10,6,Boş,Konut,140 M2,3+1,3.Kat,Kombi Doğalgaz,2525000,Kayseri - Kocasinan - Zümrüt Mahallesi,Kayseri,Kocasinan,Zümrüt Mahallesi
135 M2,16-20,7,Boş,Konut,120 M2,3+1,7.Kat,Merkezi Doğalgaz,1250000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,Kocasinan,Beyazşehir Mahallesi
100 M2,21 Ve Üzeri,2,Boş,Konut,80 M2,2+1,Düz Giriş,Kombi Doğalgaz,1650000,Kayseri - Melikgazi - Gesi Mahallesi,Kayseri,Melikgazi,Gesi Mahallesi
145 M2,16-20,9,Mülk Sahibi Oturuyor,Konut,120 M2,3+1,9.Kat,Merkezi Doğalgaz,1300000,Kayseri - Melikgazi - Altınoluk Mahallesi,Kayseri,Melikgazi,Altınoluk Mahallesi
165 M2,0 (Yeni),8,Boş,Konut,125 M2,3+1,5.Kat,Merkezi (Pay Ölçer),2380000,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Kayseri,Kocasinan,Mithatpaşa Mahallesi
117 M2,3,10,Boş,Konut,105 M2,2+1,5.Kat,Merkezi Doğalgaz,1390000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,Melikgazi,Yeşilyurt Mahallesi
170 M2,1,12,Boş,Konut,130 M2,3+1,5.Kat,Merkezi (Pay Ölçer),1950000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,Melikgazi,Yeşilyurt Mahallesi
220 M2,5-10,4,Boş,Konut,190 M2,4+1,4.Kat,Merkezi (Pay Ölçer),2300000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,Melikgazi,İldem Cumhuriyet Mahallesi
165 M2,5-10,12,Mülk Sahibi Oturuyor,Konut,135 M2,3+1,10.Kat,Kombi Doğalgaz,1770000,Kayseri - Melikgazi - Aydınlıkevler Mahallesi,Kayseri,Melikgazi,Aydınlıkevler Mahallesi
165 M2,11-15,12,Boş,Konut,130 M2,3+1,6.Kat,Merkezi Doğalgaz,1380000,Kayseri - Melikgazi - Osman Kavuncu Mahallesi,Kayseri,Melikgazi,Osman Kavuncu Mahallesi
165 M2,0 (Yeni),9,Boş,Konut,120 M2,3+1,3.Kat,Kombi Doğalgaz,2000000,Kayseri - Melikgazi - Aydınlıkevler Mahallesi,Kayseri,Melikgazi,Aydınlıkevler Mahallesi
